"InocRep","Relative_Abundance","Family"
"C11R1",0.016602229,"Alcaligenaceae"
"C12R1",0.000454856,"Alcaligenaceae"
"C12R2",0.000454856,"Alcaligenaceae"
"C10R3",0.000227428,"Alcaligenaceae"
"C11R3",0.045485558,"Alcaligenaceae"
"C12R4",0.000682283,"Alcaligenaceae"
"C11R5",0.018876507,"Alcaligenaceae"
"C11R6",0.008642256,"Alcaligenaceae"
"C10R5",0.003183989,"Flavobacteriaceae"
"C2R8",0.000227428,"Flavobacteriaceae"
"C4R1",0.009551967,"Comamonadaceae"
"C11R1",0.031385035,"Comamonadaceae"
"C4R4",0.010916534,"Comamonadaceae"
"C11R4",0.007050262,"Comamonadaceae"
"C4R7",0.010006823,"Comamonadaceae"
"C11R1",0.002729134,"Comamonadaceae"
"C4R6",0.001591995,"Comamonadaceae"
"C11R6",0.015010234,"Porphyromonadaceae"
"C1R1",0.000682283,"Enterococcaceae"
"C12R1",0.008869684,"Enterococcaceae"
"C7R2",0.002729134,"Enterococcaceae"
"C11R2",0.035251308,"Enterococcaceae"
"C12R2",0.02160564,"Enterococcaceae"
