"time_hours","variable","Family","SangerID","value"
16,"acetate (mM)","Enterobacteriaceae",338,6.198669676
16,"acetate (mM)","Enterobacteriaceae",340,7.379386753
16,"acetate (mM)","Enterobacteriaceae",461,7.363538201
16,"acetate (mM)","Enterobacteriaceae",280,7.617115023
16,"acetate (mM)","Aeromonadaceae",343,9.051408921
16,"acetate (mM)","Enterobacteriaceae",344,8.988014716
16,"acetate (mM)","Enterobacteriaceae",345,7.434856682
16,"acetate (mM)","Enterobacteriaceae",346,7.601266472
16,"acetate (mM)","Enterobacteriaceae",348,9.812139387
16,"acetate (mM)","Pseudomonadaceae",350,0
16,"acetate (mM)","Moraxellaceae",453,0
16,"acetate (mM)","Moraxellaceae",454,0
16,"acetate (mM)","Enterobacteriaceae",458,7.149582758
16,"acetate (mM)","Enterobacteriaceae",460,8.758210721
16,"acetate (mM)","Pseudomonadaceae",352,0
16,"acetate (mM)","Enterobacteriaceae",356,7.181279861
16,"acetate (mM)","Pseudomonadaceae",462,0
16,"acetate (mM)","Enterobacteriaceae",358,8.212946313
16,"acetate (mM)","Enterobacteriaceae",360,6.878098933
16,"acetate (mM)","Enterobacteriaceae",259,10.49379785
16,"acetate (mM)","Enterobacteriaceae",364,6.647544556
16,"acetate (mM)","Pseudomonadaceae",428,0
16,"acetate (mM)","Pseudomonadaceae",432,0
16,"acetate (mM)","Pseudomonadaceae",267,0
16,"acetate (mM)","Enterobacteriaceae",269,8.072406572
16,"acetate (mM)","Enterobacteriaceae",270,9.890635397
16,"acetate (mM)","Enterobacteriaceae",435,9.934342827
16,"acetate (mM)","Pseudomonadaceae",272,0.117655443
16,"acetate (mM)","Enterobacteriaceae",273,9.567200465
16,"acetate (mM)","Pseudomonadaceae",274,0
16,"acetate (mM)","Enterobacteriaceae",438,8.448290416
16,"acetate (mM)","Enterobacteriaceae",439,10.41512449
16,"acetate (mM)","Enterobacteriaceae",283,9.479785617
16,"acetate (mM)","Enterobacteriaceae",284,6.533905255
16,"acetate (mM)","Enterobacteriaceae",286,9.680839767
16,"acetate (mM)","Enterobacteriaceae",287,8.84165723
16,"acetate (mM)","Enterobacteriaceae",440,9.925601337
16,"acetate (mM)","Pseudomonadaceae",441,0
16,"acetate (mM)","Enterobacteriaceae",442,10.37141707
16,"acetate (mM)","Enterobacteriaceae",160,8.876599248
16,"acetate (mM)","Enterobacteriaceae",165,10.03045038
16,"acetate (mM)","Enterobacteriaceae",169,9.215967226
16,"acetate (mM)","Pseudomonadaceae",523,0.347150731
16,"acetate (mM)","Enterobacteriaceae",276,9.523493041
16,"acetate (mM)","Enterobacteriaceae",277,9.567200465
16,"acetate (mM)","Enterobacteriaceae",278,10.37141707
16,"acetate (mM)","Enterobacteriaceae",288,8.438348263
16,"acetate (mM)","Enterobacteriaceae",289,9.633606276
